decimalLongitude,decimalLatitude,basisOfRecord,scientificName,remark
126.984445,37.553263,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.251848,47.841226,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.879202,42.960775,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.555795,40.459793,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.93722,43.146828,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.508828,40.456792,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
133.097465,42.685504,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
137.193512,45.830863,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.903862,42.962787,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
141.14721,42.499978,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
137.306794,45.8937,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
134.318855,35.45848,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.904034,42.962368,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.562756,43.763894,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.448686,43.487594,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.234372,44.465575,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.762907,37.868659,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
129.660021,46.712389,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
136.554846,44.969392,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.899656,43.05666,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.927615,43.009827,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.970586,43.222462,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.976487,43.222452,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.924309,43.193346,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.895758,43.121707,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
141.668741,45.42247,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
117.482605,40.581622,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
117.4749,40.5695,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.438126,42.86318,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.896205,43.121713,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
